"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"ADVIL ALLERGY SINUS","0573-0188-10","2 mg/1,                         200  mg/1,                         30  mg/1","TABLET, COATED","ORAL","NDA021441","Haleon US Holdings LLC","0573-0188","chlorpheniramine maleate, ibuprofen, pseudoephedrine HCl","CHLORPHENIRAMINE MALEATE;  IBUPROFEN;  PSEUDOEPHEDRINE HYDROCHLORIDE","HUMAN OTC DRUG","12/20/2002","N/A","NDA","20 BLISTER PACK in 1 CARTON (0573-0188-10)  / 1 TABLET, COATED in 1 BLISTER PACK","Adrenergic alpha-Agonists [MoA],  Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC],  Nonsteroidal Anti-inflammatory Drug [EPC],  alpha-Adrenergic Agonist [EPC]","N/A","No","12/31/2025"
"AGAMREE","69616-264-38","","KIT","ORAL","NDA215239","Catalyst Pharmaceuticals, Inc.","69616-264","VAMOROLONE","","HUMAN PRESCRIPTION DRUG","02/01/2024","N/A","NDA","1 KIT in 1 CARTON (69616-264-38)  *  100 mL in 1 BOTTLE, GLASS (69616-265-38)","N/A","N/A","No","12/31/2025"
"Agaricus muscarius","0220-0110-41","6 [hp_C]/6[hp_C]","PELLET","ORAL","","Boiron","0220-0110","AMANITA MUSCARIA FRUITING BODY","AMANITA MUSCARIA FRUITING BODY","HUMAN OTC DRUG","03/03/1983","N/A","UNAPPROVED HOMEOPATHIC","6 [hp_C] in 1 TUBE (0220-0110-41)","N/A","N/A","No","12/31/2024"
"Agaricus Phosphorus","48951-1022-1","8 [hp_X]/mL,                         3  [hp_X]/mL,                         6  [hp_X]/mL,                         6  [hp_X]/mL,                         6  [hp_X]/mL","LIQUID","ORAL","","Uriel Pharmacy Inc.","48951-1022","Agaricus Phosphorus","AMANITA MUSCARIA FRUITING BODY;  DRYOPTERIS FILIX-MAS ROOT;  OSTREA EDULIS SHELL;  PHOSPHORUS;  SILVER FLUORIDE","HUMAN OTC DRUG","09/01/2009","N/A","UNAPPROVED HOMEOPATHIC","10 AMPULE in 1 BOX (48951-1022-1)  / 1 mL in 1 AMPULE","N/A","N/A","No","12/31/2025"
"Albuterol Sulfate","47335-703-49",".83 mg/mL","SOLUTION","RESPIRATORY (INHALATION)","ANDA207857","Sun Pharmaceutical Industries, Inc.","47335-703","albuterol sulfate","ALBUTEROL SULFATE","HUMAN PRESCRIPTION DRUG","06/11/2021","N/A","ANDA","5 POUCH in 1 CARTON (47335-703-49)  / 5 VIAL in 1 POUCH / 3 mL in 1 VIAL","Adrenergic beta2-Agonists [MoA],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2024"
"Albuterol Sulfate","47335-703-52",".83 mg/mL","SOLUTION","RESPIRATORY (INHALATION)","ANDA207857","Sun Pharmaceutical Industries, Inc.","47335-703","albuterol sulfate","ALBUTEROL SULFATE","HUMAN PRESCRIPTION DRUG","06/11/2021","N/A","ANDA","6 POUCH in 1 CARTON (47335-703-52)  / 5 VIAL in 1 POUCH / 3 mL in 1 VIAL","Adrenergic beta2-Agonists [MoA],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2024"
"Albuterol Sulfate","47335-703-54",".83 mg/mL","SOLUTION","RESPIRATORY (INHALATION)","ANDA207857","Sun Pharmaceutical Industries, Inc.","47335-703","albuterol sulfate","ALBUTEROL SULFATE","HUMAN PRESCRIPTION DRUG","06/11/2021","N/A","ANDA","12 POUCH in 1 CARTON (47335-703-54)  / 5 VIAL in 1 POUCH / 3 mL in 1 VIAL","Adrenergic beta2-Agonists [MoA],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2024"
"Alcohol","68786-300-01",".7 mL/mL","SWAB","TOPICAL","M003","Sion Biotext Medical Ltd","68786-300","Alcohol","ISOPROPYL ALCOHOL","HUMAN OTC DRUG","10/09/2020","N/A","OTC MONOGRAPH DRUG","10 BOX in 1 CASE (68786-300-01)  / 50 POUCH in 1 BOX / 1 PATCH in 1 POUCH / 1.4 mL in 1 PATCH","N/A","N/A","No","12/31/2025"
"Alcohol","68786-300-02",".7 mL/mL","SWAB","TOPICAL","M003","Sion Biotext Medical Ltd","68786-300","Alcohol","ISOPROPYL ALCOHOL","HUMAN OTC DRUG","10/09/2020","N/A","OTC MONOGRAPH DRUG","10 BOX in 1 CASE (68786-300-02)  / 75 POUCH in 1 BOX / 3 PATCH in 1 POUCH / 1.4 mL in 1 PATCH","N/A","N/A","No","12/31/2025"
"Alcohol","11344-849-20","62 mL/100mL","LIQUID","TOPICAL","505G(a)(3)","Vi-Jon, LLC","11344-849","Alcohol","ALCOHOL","HUMAN OTC DRUG","11/09/2023","N/A","OTC MONOGRAPH DRUG","1 BOTTLE, PLASTIC in 1 CARTON (11344-849-20)  / 59 mL in 1 BOTTLE, PLASTIC","N/A","N/A","No","12/31/2024"
"Alcohol","11344-849-27","62 mL/100mL","LIQUID","TOPICAL","505G(a)(3)","Vi-Jon, LLC","11344-849","Alcohol","ALCOHOL","HUMAN OTC DRUG","04/29/2020","N/A","OTC MONOGRAPH DRUG","1150 mL in 1 BOTTLE, PLASTIC (11344-849-27)","N/A","N/A","No","12/31/2024"
"Alcohol","11344-849-08","62 mL/100mL","LIQUID","TOPICAL","505G(a)(3)","Vi-Jon, LLC","11344-849","Alcohol","ALCOHOL","HUMAN OTC DRUG","04/29/2020","N/A","OTC MONOGRAPH DRUG","3785 mL in 1 BOTTLE, PLASTIC (11344-849-08)","N/A","N/A","No","12/31/2024"
"Alcohol","11344-849-68","62 mL/100mL","LIQUID","TOPICAL","505G(a)(3)","Vi-Jon, LLC","11344-849","Alcohol","ALCOHOL","HUMAN OTC DRUG","04/29/2020","N/A","OTC MONOGRAPH DRUG","2000 mL in 1 BOTTLE, PLASTIC (11344-849-68)","N/A","N/A","No","12/31/2024"
"Alcohol","11344-849-86","62 mL/100mL","LIQUID","TOPICAL","505G(a)(3)","Vi-Jon, LLC","11344-849","Alcohol","ALCOHOL","HUMAN OTC DRUG","04/29/2020","N/A","OTC MONOGRAPH DRUG","1000 mL in 1 BOTTLE, PLASTIC (11344-849-86)","N/A","N/A","No","12/31/2024"
"Alcohol","11344-849-45","62 mL/100mL","LIQUID","TOPICAL","505G(a)(3)","Vi-Jon, LLC","11344-849","Alcohol","ALCOHOL","HUMAN OTC DRUG","04/29/2020","N/A","OTC MONOGRAPH DRUG","946 mL in 1 BOTTLE, PLASTIC (11344-849-45)","N/A","N/A","No","12/31/2024"
"Alcohol","11344-849-48","62 mL/100mL","LIQUID","TOPICAL","505G(a)(3)","Vi-Jon, LLC","11344-849","Alcohol","ALCOHOL","HUMAN OTC DRUG","04/29/2020","N/A","OTC MONOGRAPH DRUG","1.005 mL in 1 BOTTLE, PLASTIC (11344-849-48)","N/A","N/A","No","12/31/2024"
"Alcohol","11344-849-49","62 mL/100mL","LIQUID","TOPICAL","505G(a)(3)","Vi-Jon, LLC","11344-849","Alcohol","ALCOHOL","HUMAN OTC DRUG","04/29/2020","N/A","OTC MONOGRAPH DRUG","443 mL in 1 BOTTLE, PLASTIC (11344-849-49)","N/A","N/A","No","12/31/2024"
"Alcohol","11344-849-55","62 mL/100mL","LIQUID","TOPICAL","505G(a)(3)","Vi-Jon, LLC","11344-849","Alcohol","ALCOHOL","HUMAN OTC DRUG","04/29/2020","N/A","OTC MONOGRAPH DRUG","2082 mL in 1 DRUM (11344-849-55)","N/A","N/A","No","12/31/2024"
"Alcohol","11344-849-63","62 mL/100mL","LIQUID","TOPICAL","505G(a)(3)","Vi-Jon, LLC","11344-849","Alcohol","ALCOHOL","HUMAN OTC DRUG","04/29/2020","N/A","OTC MONOGRAPH DRUG","199 mL in 1 BOTTLE, PLASTIC (11344-849-63)","N/A","N/A","No","12/31/2024"
"Alcohol","11344-849-64","62 mL/100mL","LIQUID","TOPICAL","505G(a)(3)","Vi-Jon, LLC","11344-849","Alcohol","ALCOHOL","HUMAN OTC DRUG","04/29/2020","N/A","OTC MONOGRAPH DRUG","1892 mL in 1 BOTTLE, PLASTIC (11344-849-64)","N/A","N/A","No","12/31/2024"
"Alcohol","11344-849-16","62 mL/100mL","LIQUID","TOPICAL","505G(a)(3)","Vi-Jon, LLC","11344-849","Alcohol","ALCOHOL","HUMAN OTC DRUG","04/29/2020","N/A","OTC MONOGRAPH DRUG","59 mL in 1 BOTTLE, PLASTIC (11344-849-16)","N/A","N/A","No","12/31/2024"
"Alcohol","11344-849-21","62 mL/100mL","LIQUID","TOPICAL","505G(a)(3)","Vi-Jon, LLC","11344-849","Alcohol","ALCOHOL","HUMAN OTC DRUG","04/29/2020","N/A","OTC MONOGRAPH DRUG","89 mL in 1 BOTTLE, PLASTIC (11344-849-21)","N/A","N/A","No","12/31/2024"
"Alcohol","11344-849-32","62 mL/100mL","LIQUID","TOPICAL","505G(a)(3)","Vi-Jon, LLC","11344-849","Alcohol","ALCOHOL","HUMAN OTC DRUG","04/29/2020","N/A","OTC MONOGRAPH DRUG","355 mL in 1 BOTTLE, PLASTIC (11344-849-32)","N/A","N/A","No","12/31/2024"
"Alcohol","11344-849-34","62 mL/100mL","LIQUID","TOPICAL","505G(a)(3)","Vi-Jon, LLC","11344-849","Alcohol","ALCOHOL","HUMAN OTC DRUG","04/29/2020","N/A","OTC MONOGRAPH DRUG","236 mL in 1 BOTTLE, PLASTIC (11344-849-34)","N/A","N/A","No","12/31/2024"
"Alcohol","11344-849-38","62 mL/100mL","LIQUID","TOPICAL","505G(a)(3)","Vi-Jon, LLC","11344-849","Alcohol","ALCOHOL","HUMAN OTC DRUG","04/29/2020","N/A","OTC MONOGRAPH DRUG","295 mL in 1 BOTTLE, PLASTIC (11344-849-38)","N/A","N/A","No","12/31/2024"
"Alcohol","11344-849-43","62 mL/100mL","LIQUID","TOPICAL","505G(a)(3)","Vi-Jon, LLC","11344-849","Alcohol","ALCOHOL","HUMAN OTC DRUG","04/29/2020","N/A","OTC MONOGRAPH DRUG","473 mL in 1 BOTTLE, PLASTIC (11344-849-43)","N/A","N/A","No","12/31/2024"
"ALKA-SELTZER ORIGINAL","29485-7535-2","1000 mg/1,                         325  mg/1,                         1916  mg/1","TABLET, EFFERVESCENT","ORAL","M013","Lil' Drug Store Products, Inc.","29485-7535","anhydrous citric acid, aspirin, and sodium bicarbonate tablet, effervescent","ANHYDROUS CITRIC ACID;  ASPIRIN;  SODIUM BICARBONATE","HUMAN OTC DRUG","07/10/2020","12/31/2025","OTC MONOGRAPH DRUG","25 PACKET in 1 BOX (29485-7535-2)  / 2 TABLET, EFFERVESCENT in 1 PACKET","Acidifying Activity [MoA],  Alkalinizing Activity [MoA],  Anti-Inflammatory Agents,  Non-Steroidal [CS],  Anti-coagulant [EPC],  Calcium Chelating Activity [MoA],  Calculi Dissolution Agent [EPC],  Cyclooxygenase Inhibitors [MoA],  Decreased Coagulation Factor Activity [PE],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Nonsteroidal Anti-inflammatory Drug [EPC],  Platelet Aggregation Inhibitor [EPC]","N/A","No","N/A"
"ALKA-SELTZER ORIGINAL","29485-7535-3","1000 mg/1,                         325  mg/1,                         1916  mg/1","TABLET, EFFERVESCENT","ORAL","M013","Lil' Drug Store Products, Inc.","29485-7535","anhydrous citric acid, aspirin, and sodium bicarbonate tablet, effervescent","ANHYDROUS CITRIC ACID;  ASPIRIN;  SODIUM BICARBONATE","HUMAN OTC DRUG","11/17/2016","12/31/2025","OTC MONOGRAPH DRUG","30 PACKET in 1 BOX (29485-7535-3)  / 2 TABLET, EFFERVESCENT in 1 PACKET","Acidifying Activity [MoA],  Alkalinizing Activity [MoA],  Anti-Inflammatory Agents,  Non-Steroidal [CS],  Anti-coagulant [EPC],  Calcium Chelating Activity [MoA],  Calculi Dissolution Agent [EPC],  Cyclooxygenase Inhibitors [MoA],  Decreased Coagulation Factor Activity [PE],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Nonsteroidal Anti-inflammatory Drug [EPC],  Platelet Aggregation Inhibitor [EPC]","N/A","No","N/A"
"Allergy Relief","69517-106-24","25 mg/1","TABLET","ORAL","M012","HealthLife of USA","69517-106","Diphenhydramine Hydrochloride","DIPHENHYDRAMINE HYDROCHLORIDE","HUMAN OTC DRUG","01/01/2016","N/A","OTC MONOGRAPH DRUG","24 CARTON in 1 BOTTLE (69517-106-24)  / 1 TABLET in 1 CARTON","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2024"
"Allergy Relief","69517-106-30","25 mg/1","TABLET","ORAL","M012","HealthLife of USA","69517-106","Diphenhydramine Hydrochloride","DIPHENHYDRAMINE HYDROCHLORIDE","HUMAN OTC DRUG","06/05/2017","N/A","OTC MONOGRAPH DRUG","1 BOTTLE in 1 CARTON (69517-106-30)  / 30 TABLET in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2024"
